rank,name,result,citizen_of,competition,year 
5943,Xixiao Dai (戴熙晓),11.87,China,Harbin Open 2019,2019
5972,Avani Sood,11.88,India,Raipur Cube Carnival 2019,2019
5972,Brendan F. Long,11.88,United States,Clash at Carlisle Fall 2019,2019
5972,Charles Amarello,11.88,United States,MIT Winter 2020,2020
5972,Deyang Wang (王德阳),11.88,China,Shenzhen Open 2019,2019
5972,Dmitri Arterchuk,11.88,Belarus,Welcome to Brest 2018,2018
5972,Dongyun Yin (殷冬昀),11.88,China,Suzhou Open 2019,2019
5972,Guocong Li (李国聪),11.88,China,Yangjiang Open 2018,2018
5972,Hanxin Ling (凌汉鑫),11.88,China,Dongguan Open 2019,2019
5972,Jared Diehl,11.88,United States,Lawrence Fall 2016,2016
5972,Joni Hiisvirta,11.88,Finland,Pikkujoulut 2018,2018
5972,Jonny Katz,11.88,United States,Mudd Fall 2019,2019
5972,Lev Maslov,11.88,Russia,Ramenskoe Open 2019,2019
5972,Luis Alfredo Sotomayor Guamán,11.88,Ecuador,Ecuador Nationals 2018,2018
5972,Roman Povolotskii,11.88,Russia,Elista Lyceum 2019,2019
5972,Shoji Nishimura (西村晶司),11.88,Japan,Ayase 2020,2020
5972,Sumi Lee,11.88,Dominican Republic,LatAm Tour - Santo Domingo 2017,2017
5972,Teera Tareesuchevakul (ธีรา ธารีสุชีวกุล),11.88,Thailand,Thailand Championship 2012,2012
5972,Topias Hyrsylä,11.88,Finland,Finnish Open 2018,2018
5972,Varun Tangtur,11.88,United States,Cubing For LLS Summer 2019,2019
5972,Vitalii Revasevych (Віталій Ревасевич),11.88,Ukraine,Smart Cube Open 2017,2017
5972,Yongyi Xiong (熊永一),11.88,China,Xi&#39;an Cherry Blossom 2017,2017
5972,Zejun Chen (陈泽鋆),11.88,China,Shandong Open 2019,2019
5994,Alejandro Restrepo Echeverri,11.89,Colombia,Speedcube Aves María 2020,2020
5994,Alexander Sisemore,11.89,United Kingdom,Oklahoma Spring 2019,2019
5994,Brady Metherall,11.89,Canada,Battle of Waterloo 2017,2017
5994,Brian John,11.89,United States,Rocky The Ram Cubes 2019,2019
5994,Cahya Hariyadi,11.89,Indonesia,Di Solo Aja Kk 2017,2017
5994,Carlo Glod,11.89,Luxembourg,Munich Open 2019,2019
5994,Carlos Alberth Cerrón Vargas,11.89,Peru,Breaking Records Huancayo 2019,2019
5994,Charlie Brantley,11.89,United States,Austin Fall 2019,2019
5994,Cong Wen (文聪),11.89,China,Dongguan Mid-Autumn 2018,2018
5994,Deiniel Dane Semana,11.89,Philippines,Marikina City Open II 2019,2019
5994,Guanyao Peng (彭冠尧),11.89,China,China Championship 2019,2019
5994,Haochuan Wang (王浩川),11.89,China,Newmarket Open 2017,2017
5994,Jakob Sawyer,11.89,Canada,Downtown Vancouver Winter 2020,2020
5994,Jess Mitchell,11.89,United States,Ken-Ton Cubing 2019,2019
5994,Jia-Hong Lu (陸嘉宏),11.89,Taiwan,CK Cubing Party 2018,2018
5994,Jose Gustavo Hugo Cajan,11.89,Peru,La Tienda Cubera Christmas 2018,2018
5994,Junming Zhang (张峻鸣),11.89,China,Heze Open 2019,2019
5994,Justin MacLean,11.89,Canada,Canadian Championship 2019,2019
5994,Justin Reilmann,11.89,United States,Cubing For Kyle 2019,2019
5994,Kazuhiro Fukada (深田和宏),11.89,Japan,Ayase Autumn 2019,2019
5994,Manuel G. Membrillera Pérez,11.89,Spain,WCA Euro 2018,2018
5994,Mihai Căpăţinescu,11.89,Romania,Sebes Autumn 2018,2018
5994,Mok Yuan Cong,11.89,Malaysia,Malaysia 10th Cube Open 2019,2019
5994,Muhammad Farhan Ardiapratama,11.89,Indonesia,Indonesian Championship 2018,2018
5994,Nick Gueldner,11.89,United States,Dixon Fall 2016,2016
5994,Oliwier Ferenc,11.89,Poland,Aarhus Christmas 2019,2019
5994,Pietro Angelillo,11.89,France,Hem MariCubik Open 2018,2018
5994,Pritesh Lunkad,11.89,India,Bit Cube Open 2017,2017
5994,Reynald Lumamba,11.89,Philippines,Mindanao Championship 2019,2019
5994,Sebastian Porras Tenorio,11.89,Peru,FIGHT Peru 2018,2018
5994,Xin Lü (吕鑫),11.89,China,Dalian Open 2018,2018
5994,Xinyue Yuan (袁新玥),11.89,China,Chengdu Winter Open 2018,2018
5994,Yizhou Su (苏依舟),11.89,China,Nanning Open 2019,2019
6027,Aaryan Shah,11.90,India,Cube Fiesta Surat 2019,2019
6027,Anonymous,11.90,United States,AZCubing Hamilton Fall 2017,2017
6027,Carlos Tapp,11.90,Spain,Spain 2018,2018
6027,Darun Jayavel,11.90,India,Shaastra Cube Open 2018,2018
6027,Davion Wells,11.90,United States,OCSEF 2017,2017
6027,Dmitry Shelomencev,11.90,Russia,Ural Autumn 2019,2019
6027,Dominik Jakubowski,11.90,Poland,GLS Cup IV 2016,2016
6027,Ehsan Rajabi Vahdat (احسان رجبی وحدت),11.90,Iran,Kite Autumn 2019,2019
6027,Erwan Lesueur,11.90,France,Tassin-la-Demi-Cube Open 2019,2019
6027,Gerson Rafael Veloz Aracena,11.90,Dominican Republic,Santiago Summer 2018,2018
6027,Ihor Voloshyn (Ігор Волошин),11.90,Ukraine,Ukrainian Nationals 2019,2019
6027,Jakub Janusz,11.90,Poland,Mielec Cube Day 2016,2016
6027,Jiaran Pan (潘嘉然),11.90,China,Suzhou Open 2018,2018
6027,Josh Bloch,11.90,United States,Rally in the Valley 2019,2019
6027,Juan Carlos Campomanes,11.90,Australia,Koalafication Brisbane 2019,2019
6027,Karenjit Singh Gill (卡仁基),11.90,Malaysia,Forest City Johor Open 2018,2018
6027,Lisa Rengers,11.90,Netherlands,Dutch Nationals 2018,2018
6027,Liuyan Fan (樊柳言),11.90,China,Beijing Summer 2018,2018
6027,Nguyễn Thành Đạt,11.90,Vietnam,Ha Noi Cube Day 2020,2020
6027,Nicolay Roness,11.90,Norway,LeanNova Cube Day 2014,2014
6027,Olivér Horváth,11.90,Hungary,Hungarian Open 2016,2016
6027,Qiyue Wang (王启越),11.90,China,Beijing Winter 2018,2018
6027,Roman Kuznetsov (Роман Кузнецов),11.90,Russia,Magnit Open 2019,2019
6027,Sebastian Guerrero,11.90,Costa Rica,Bekubes Gold 2019,2019
6027,Semin Kwon (권세민),11.90,Republic of Korea,Play Cube 2017,2017
6027,Sergey Dekar,11.90,Russia,CCC Open Moscow 2019,2019
6027,Tanto Prabowo,11.90,Indonesia,Celebes Open 2019,2019
6027,Timo Norrkniivilä,11.90,Finland,Lande Open 2018,2018
6027,Tucker Chamberlain,11.90,United States,Austin Summer 2019,2019
6027,Youxuan Liang (梁友轩),11.90,China,Jieyang Open 2019,2019
6027,Yujie Rao (饶喻杰),11.90,China,Longyan Open 2018,2018
6058,Alex Burns,11.91,United Kingdom,UK Championship 2019,2019
6058,Andrew Dressman,11.91,United States,SCC Winter 2018,2018
6058,Arsenii Evdokimov (Арсений Евдокимов),11.91,Russia,CCC Qualification Sochi 2019,2019
6058,Artem Savosik,11.91,Belarus,BSU Cubing Days 2016,2016
6058,Bilguun Soyolbaatar (Соёлбаатар Билгүүн),11.91,Mongolia,Dornogovi Open 2018,2018
6058,Carolina Guidetti,11.91,Italy,Bologna Winter Madness 2020,2020
6058,Dany Yaacoub,11.91,United States,Dixon Spring 2018,2018
6058,Dmitriy Sargsyan (Дмитрий Саргсян),11.91,Russia,Siberia Open 2020,2020
6058,Gaoxiang Shen (沈高翔),11.91,China,Wuxi Open 2017,2017
6058,Gordon Choo,11.91,Australia,ASFA Speedcubing 2018,2018
6058,Hong Wang (王鸿),11.91,China,China Championship 2017,2017
6058,Jack Johnson,11.91,United States,Heartland Champs 2018,2018
6058,Jacob Fintelman,11.91,Canada,Oakville Limited Fall 2018,2018
6058,Jakka Chang,11.91,Netherlands,Assen Open 2018,2018
6058,Jerónimo González Sánchez,11.91,Colombia,Festival Cubero Blind 2019,2019
6058,Jiacheng Huang (黄嘉诚),11.91,China,Quanzhou Open 2019,2019
6058,Juan Manuel Mariscal,11.91,Argentina,Happy Spring MDQ 2018,2018
6058,Junyi Zhong (钟浚意),11.91,China,Guilin Open 2019,2019
6058,Kai Ma (马开),11.91,China,Zibo Open 2019,2019
6058,Levente Fejes-Nagyfejeő,11.91,Hungary,Budapest Open 2018,2018
6058,Leyan Lo,11.91,United States,Reno Winter 2010,2010
6058,Luis Andrei Castillo Arellano,11.91,Mexico,Misión México 2019,2019
6058,Mikhail Ivashechkin,11.91,Russia,Siberia Open 2020,2020
6058,Nguyễn Tuệ Sơn,11.91,Vietnam,Ha Noi Cube Day 2019,2019
6058,Nikita Chistyakov,11.91,Belarus,BSU Cubing Days 2016,2016
6058,Niño Francis S. Reyes,11.91,Philippines,ValenZheng Cube Open 2018,2018
6058,Oleksandr Marchuk (Олександр Марчук),11.91,Ukraine,Smart Cube Fest 2018,2018
6058,Ron van Bruchem,11.91,Netherlands,Macedonia Open 2018,2018
6058,Suzanna Sharpless,11.91,United States,DFW Cubing Fiesta September 2018,2018
6058,Varun Gudibanda,11.91,United States,Buccaneer Bonanza 2019,2019
6058,Wenqiang Yan (严文强),11.91,China,Shenzhen 10th Anniversary 2019,2019
6058,Wojciech Kotulski,11.91,Poland,Dragon Cubing 2020,2020
6058,Xuanyou Zhou (周宣佑),11.91,China,Chengdu Winter 2019,2019
6058,Yehao Wang (王业豪),11.91,China,Suzhou Open 2019,2019
6058,Yi Wang (王旖),11.91,China,Wuxi Autumn 2018,2018
6058,Yijun Han,11.91,Republic of Korea,Providence Fall 2019,2019
6058,Zhouyu Zhao (赵洲宇),11.91,China,China Championship 2019,2019
6095,Christian Meyer,11.92,Switzerland,Swisscubing Cup IV 2019,2019
6095,Christopher Ness,11.92,United Kingdom,Rapid Dash Open 2012,2012
6095,Erwan de Lépinau,11.92,France,Bussières Open 2013,2013
6095,Evan Ulrich,11.92,United States,Fargo Fall 2018,2018
6095,Gianfranco Hugo Mostacero Muñoz,11.92,Peru,Peru Nationals 2018,2018
6095,Guanjian Liang (梁观健),11.92,China,Maoming Open 2019,2019
6095,Henrique dos Reis Aquino,11.92,Brazil,Oxente Open 2019,2019
6095,Hongyu Jiang (姜宏禹),11.92,China,Xinxiang Open 2019,2019
6095,Ioann Smolin (Иоанн Смолин),11.92,Russia,MPEI Open 2019,2019
6095,Jakov Kesić,11.92,Croatia,Osijek Open 2017,2017
6095,Jayce Li,11.92,Canada,Downtown Vancouver Winter 2020,2020
6095,Jiayu Liu (刘嘉毓),11.92,China,Xi&#39;an New Year 2020,2020
6095,Jin Xie (谢晋),11.92,China,Suzhou Open 2018,2018
6095,Jin Yang (杨晋),11.92,China,Hefei Spring 2012,2012
6095,Joey Gaffney,11.92,Canada,UBC Open 2019,2019
6095,Kai Gorecki,11.92,United States,Ayase 2020,2020
6095,Kasper Koster,11.92,Netherlands,Hoogland Open 2019,2019
6095,Keone Shelley-Lyons,11.92,New Zealand,New Zealand Nationals 2017,2017
6095,Mohamad Adrian Syahirin Bin Mohd Faizal,11.92,Malaysia,Putra Speedcubing Challenge 2019,2019
6095,Nic Napier,11.92,United States,Coach Pigeon 2018,2018
6095,Noah Wymbs,11.92,United States,Gaston Toe Twiddling 2019,2019
6095,Óscar Roldán Blay,11.92,Spain,Cheste 2019,2019
6095,Paweł Rybak,11.92,Poland,GLS Cup IV 2019,2019
6095,Rafał Stottko,11.92,Poland,Project Jastrzębie-Zdrój 2018,2018
6095,Raghav Arora,11.92,India,Shri Ram Cubing Challenge 2017,2017
6095,Rishith Shyamkumar Nellippillil,11.92,India,Cuberussia in MSK 2017,2017
6095,Shintaro Nishijo,11.92,Japan,Frankfurt Cube Days 2016,2016
6095,Shreya Wadehra,11.92,United States,Discovery Place 2016,2016
6095,Vũ Văn Thủy,11.92,Vietnam,Ha Noi Championship 2019,2019
6095,Xiaotian Ma (马晓田),11.92,China,Xi&#39;an New Year 2020,2020
6125,Andres Felipe Triviño,11.93,Colombia,Festival Cubero Cúbico 2019,2019
6125,Arta Pradana Suteja,11.93,Indonesia,Jogja Mini 2015,2015
6125,Axel Flordal,11.93,Sweden,Swedish Championship 2019,2019
6125,Chris Van Der Brink,11.93,United States,Minnesota Cube Days 2020,2020
6125,Craig Hayashi,11.93,United States,Berkeley Spring 2012,2012
6125,David Schult,11.93,Germany,German Open 2015,2015
6125,Eric Fernandes Monteiro,11.93,Brazil,Poa Open 2017,2017
6125,Guangtao Zhang (张广韬),11.93,China,NEU Open 2019,2019
6125,Hui Hing Ho (許鑫豪),11.93,Hong Kong,Cross-strait Cubing 2019,2019
6125,Isa Daurenbek,11.93,Kazakhstan,Cubing Semey Open 2019,2019
6125,Jiahui Zhu (朱嘉辉),11.93,China,Nanjing Autumn 2016,2016
6125,Jie-Ju Chen (陳玠儒),11.93,Taiwan,Cubik Box Cup 2011,2011
6125,Jin Mochizuki (望月仁),11.93,Japan,Japan Open 2016,2016
6125,Kasey Thai,11.93,United States,Michigan 2019,2019
6125,Lucas Hodali Valdivia,11.93,Chile,Colegio Arabe Open 2018,2018
6125,Martin Minnaert,11.93,France,Hem MariCubik Open 2017,2017
6125,Matthew Tan,11.93,United States,AZCubing Winter 2019,2019
6125,Mohan Feng (冯莫涵),11.93,China,Wenzhou Open 2018,2018
6125,Nikolas Vlassopoulos,11.93,Greece,Athens SNFestival Cubing 2019,2019
6125,Robin Verstraten,11.93,Netherlands,HNY Cubing Niijmegen 2019,2019
6125,Samuel O&#39;Sullivan,11.93,United States,Canandaigua Winter 2020,2020
6125,Sen-Yang Cheng (鄭森洋),11.93,Taiwan,Dream One Cube Open 2019,2019
6125,Shuen-Shin Lin (林順訢),11.93,Taiwan,Chien Kuo Cubing Party 2019,2019
6125,Takuto Suga (菅拓人),11.93,Japan,Western Championship 2019,2019
6125,Tengyu Wang (王腾宇),11.93,China,Shenzhen 10th Anniversary 2019,2019
6125,Xiaochen Gu (顾笑尘),11.93,China,Kunshan Open 2019,2019
6125,Yi Wei (危毅),11.93,China,Guangdong Open 2013,2013
6125,Yi Zhao (赵轶),11.93,China,China Championship 2017,2017
6125,Yiren Lu (陆弈人),11.93,China,Shanghai Winter 2018,2018
6154,Aissultan Aizharkynuly (Айсұлтан Айжарқынұлы),11.94,Kazakhstan,Almaty Snowflake Cube 2019,2019
6154,Alexandre Ondet,11.94,France,Sens Open 2019,2019
6154,Andrew Hwang,11.94,United States,Hendersonville Fall 2017,2017
6154,Anthony Hsu,11.94,United States,Yale Fall 2011,2011
6154,Dustin Trivette,11.94,United States,Carolina Cubers United 2018,2018
6154,Felix Schmidt,11.94,Germany,German Nationals 2019,2019
6154,Gabriel Garces,11.94,Chile,Santiago UV de Otoño 2018,2018
6154,Georg Aarnes Nisja,11.94,Norway,VI QB&#39;er 2017,2017
6154,Gereon Kahrau,11.94,Germany,German Open 2016,2016
6154,Hoàng Minh Giang,11.94,Vietnam,CSP Open 2014,2014
6154,Hyun-Seo Oh,11.94,Republic of Korea,HanMaDang 2017,2017
6154,Jacob Holladay,11.94,United States,Berkeley Winter 2018,2018
6154,Jan Fonš,11.94,Czech Republic,Slovakian Open 2019,2019
6154,Jiaxuan Bao (暴家烜),11.94,China,Beijing Summer 2018,2018
6154,Jingyu Sun (孙靖宇),11.94,China,China Championship 2017,2017
6154,Karl Choi,11.94,Germany,NEMO Amsterdam Open 2012,2012
6154,Luis Rotzoll,11.94,Germany,Munich Open 2019,2019
6154,Michael McCarty,11.94,United States,MCC Gamma 2016,2016
6154,Mike McNeill,11.94,United States,SBU Spring 2019,2019
6154,Miles Lipka,11.94,United States,MIT Winter 2020,2020
6154,Pedro Luis Mamani Suclla,11.94,Peru,TCG Spring 2019,2019
6154,Rafael Carreiro Campos,11.94,Brazil,Brasileiro 2018,2018
6154,Sanchit Ashish,11.94,India,Speedcubing ESYA 2019,2019
6154,Tomás Von Freeden,11.94,Argentina,Nacionales Argentinas 2019,2019
6154,Zhefan Pu (浦喆凡),11.94,China,Nanjing Spring 2018,2018
6179,AJ Le,11.95,United States,Fort Worth Fall Fiesta 2019,2019
6179,Bo Meng (孟博),11.95,China,Hefei Open 2016,2016
6179,Chang Jiah Zhe,11.95,Malaysia,Malaysia Cube Championship 2019,2019
6179,Christian Alsaker Henriksen,11.95,Norway,Kjeller Open 2019,2019
6179,Dániel Lázár,11.95,Hungary,Hungarian Open 2016,2016
6179,Đỗ Hà Phương,11.95,Vietnam,Ha Noi Championship 2018,2018
6179,Eric Omar Contreras Juarez,11.95,Mexico,Mexican Championship 2018,2018
6179,Georgiy Titov (Георгій Тітов),11.95,Ukraine,Ukrainian Nationals 2017,2017
6179,Guan-Ying Wang (王冠穎),11.95,Taiwan,Maru X 2018,2018
6179,Jefferson Yalung,11.95,Philippines,Cebu Masters 2017,2017
6179,Kyrylo Danyleiko (Кирило Данилейко),11.95,Ukraine,Oleksandriia Open 2014,2014
6179,Luke Pham-Kim,11.95,Canada,Oakville Limited Winter 2018,2018
6179,Mohammed Al Said,11.95,Oman,City Centre Sharjah Open 2019,2019
6179,Sam Koch,11.95,United States,Olde Town Parker 2020,2020
6179,Xuanxiao Wang (王宣晓),11.95,China,Hong Kong Open 2017,2017
6179,Yakov Ivanov,11.95,Russia,SPB Muffin Winter 2019,2019
6179,Zhijian Wang (王志坚),11.95,China,Nanchang Winter 2019,2019
6196,Adrien Neveu,11.96,France,French Championship 2019,2019
6196,Alexander Yu,11.96,United States,Princeton Spring 2013,2013
6196,Anna L. Halsdorf,11.96,United States,Rocky The Ram Cubes 2019,2019
6196,Ante Perić,11.96,Croatia,Slovenian Open 2017,2017
6196,Anukun Supcharoenkun (อนุกูล ทรัพย์เจริญกุล),11.96,Thailand,Thailand Championship 2019,2019
6196,Bogdan Dovbysh,11.96,Belarus,Black Pawn in Brest 2019,2019
6196,David Armstrong,11.96,United States,SnoCo Fall 2018,2018
6196,Dmitry Melnikov (Дмитрий Мельников),11.96,Russia,CCC Qualification SPB 2020,2020
6196,Dominic Morton,11.96,United States,Thousand Oaks Cubing Open 2019,2019
6196,Elijah Gil S. Cacho,11.96,Philippines,Mindanao Championship 2019,2019
6196,Evgeniy Kabanov,11.96,Russia,Saratov Open 2018,2018
6196,Guillermo Quijano,11.96,El Salvador,Sivar Open 2015,2015
6196,Haydn McLennan,11.96,Australia,Gold Coast Spring 2019,2019
6196,Jake Wimsatt,11.96,United States,Crossroads Cubing 2017,2017
6196,Javier Alejandro Contreras Figueroa,11.96,Mexico,Tunas Open 2019,2019
6196,Jiaxi Ye (叶佳希),11.96,China,Wuhan Autumn 2019,2019
6196,Justin Chang,11.96,United States,Austin Fall 2019,2019
6196,Kerem Kılınç,11.96,Turkey,Marmara Spring 2018,2018
6196,Kuba Kwaśniewski,11.96,Poland,GLS Gdynia 2020,2020
6196,Marcelo Lara Llanos,11.96,Bolivia,San Rafael 2018,2018
6196,Marcos Ferreira Semolini,11.96,Brazil,Torneio de Cubo Mágico EJS 2019,2019
6196,Nguyễn Thành Nhân,11.96,Vietnam,Ho Chi Minh Spring Open 2018,2018
6196,Parth Garg,11.96,United States,Cubing in Cambridge 2019,2019
6196,Phạm Văn Tới,11.96,Vietnam,Ha Noi Cube Day 2020,2020
6196,Trần Ngọc Sơn,11.96,Vietnam,Ha Noi Open 2018,2018
6196,Willy Hericson,11.96,Indonesia,Medan Lunar New Year 2020,2020
6196,Xiaowei Chen (陈晓伟),11.96,China,Nanjing Autumn 2018,2018
6196,Zachary Olmoz,11.96,United States,Weston Fall 2017,2017
6224,Adam Nahajowski,11.97,Poland,MLS Warszawa 2020,2020
6224,Bruce Kong,11.97,Canada,Downtown Vancouver Summer 2019,2019
6224,Cholo John Chua,11.97,Philippines,Negros Speedcubing Open III 2018,2018
6224,Chyngyz Sultanbekov (Чынгыз Султанбеков),11.97,Kyrgyzstan,Kyrgyzstan Open 2019,2019
6224,Cyril Jerome C.Santiago,11.97,Philippines,Marikina City Open II 2019,2019
6224,Danilo Hidalgo Uribe,11.97,Dominican Republic,Santo Domingo Summer 2016,2016
6224,Diego Arturo Reyes,11.97,United States,Houston Winter 2020,2020
6224,Egdar Castillo,11.97,Panama,Panamá Kocka 2019,2019
6224,Ethan Chang,11.97,United States,Eugene 3x3 Mania 2017,2017
6224,Gregory Allegoet,11.97,Belgium,Annuntia Open 2020,2020
6224,Hilmar Magnusson,11.97,Iceland,Norwegian Championship 2016,2016
6224,Jason Baum,11.97,United States,Da Vinci Science Center 2008,2008
6224,Juan Pablo Suárez Narváez,11.97,Ecuador,Ecuador Nationals 2019,2019
6224,Lê Quốc Khánh,11.97,Vietnam,Ho Chi Minh Open 2018,2018
6224,Qingpo Niu (牛青坡),11.97,China,Xianyang Open 2019,2019
6224,Rafail Dzoz (Рафаил Дзоз),11.97,Russia,CCC Qualification Sochi 2019,2019
6224,Rohan Jawale,11.97,United States,ChicaGhosts 2017,2017
6224,Simeng Liu (刘思萌),11.97,China,Harbin Open 2019,2019
6224,Trần Anh Quân,11.97,Vietnam,Ho Chi Minh City Open 2019,2019
6224,Tye Gorder,11.97,United States,Resticker Utah 2019,2019
6224,Vitor Jacinto Damásio,11.97,Brazil,Campeonato Brasileiro 2019,2019
6224,Yancheng Lai (赖彦丞),11.97,China,China&#39;s 10th Anniversary 2017,2017
6224,Youssef Kallala,11.97,Tunisia,Tunisia Winter Open Day 2017,2017
6224,Zhihao Li (李志淏),11.97,China,Xi&#39;an New Year 2020,2020
6248,Abdul Darries,11.98,South Africa,Speedcubes Cape Town 2019,2019
6248,Advait Pai,11.98,India,Oculus Cube Open 2019,2019
6248,Alex Springer,11.98,United States,Boise 2019,2019
6248,Alexey Dudin (Алексей Дудин),11.98,Russia,Belgorod Open 2019,2019
6248,Daniel Suclupe Dávila,11.98,Peru,Jaén Mountain Cubes 2018,2018
6248,Daniel Veldman,11.98,Netherlands,Veenendaal Open 2020,2020
6248,Danilo Caimano,11.98,Italy,Tiburtinae Open 2012,2012
6248,Denver Paul Malabanan,11.98,Philippines,Luzon Championship 2019,2019
6248,Gianfranco Camones Caycho,11.98,Peru,Lima Cuberano 2020,2020
6248,Haoji Lei (雷毫记),11.98,China,Yangjiang Open 2015,2015
6248,Huangzhe Shu (舒煌哲),11.98,China,Shenzhen 10th Anniversary 2019,2019
6248,Jaime Martín Ferres,11.98,Spain,UCLM Cuenca Open 2020,2020
6248,Joey Silva,11.98,United States,Frisco Liberty Cubing 2020,2020
